feature,f-score,odds-ratio,statistical-power,probability-ratio,gini-index,kolmogorov-smirnov,geometric-mean,auc,auprc,mutual-info,deviance,matthews-correlation-coefficient
GENE142X,0.44067796610169496,3.227272727272727,0.2556564097769292,3.130434782608696,0.35853327297419646,0.24577294685990342,0.620211121916394,0.5727657004830917,0.300394130932906,-187.2604594886878,252.3298414273117,0.22110875286152548
GENE141X,0.42696629213483145,4.4,0.2613510668803563,1.9565217391304348,0.36962426437301943,0.17330917874396135,0.5549513622766896,0.5766908212560387,0.2703871293403475,-189.18464596371308,257.9557171117954,0.16120583734954474
GENE140X,0.4423076923076923,5.7894736842105265,0.17022307696434352,3.130434782608696,0.36962426437301943,0.20108695652173914,0.5731513024140634,0.589975845410628,0.2730236774072149,-187.746012441157,257.708586540992,0.23497365815647261
GENE139X,0.4299065420560748,4.8474576271186445,0.2613510668803563,1.9565217391304348,0.36962426437301943,0.1527777777777778,0.531609533071195,0.5111714975845411,0.2418814226869246,-189.18464596371308,253.95232670146345,0.2045287524579627
GENE138X,0.41509433962264153,3.9672131147540983,0.06033284387607407,1.1925465838509315,0.36962426437301943,0.13164251207729472,0.5361339511041714,0.5132850241545893,0.23345398234660936,-189.31480039902817,253.92399087319748,0.14093496093318875
GENE137X,0.5194805194805194,15.714285714285714,0.3714390508231942,6.260869565217392,0.36962426437301943,0.3973429951690821,0.6774490372475503,0.6832729468599035,0.34377379613944764,-186.8612868547994,253.42448979591836,0.3653753834245045
GENE136X,0.4,6.0,0.5308188841221926,4.695652173913044,0.35853327297419646,0.20531400966183577,0.5646597025732799,0.48097826086956524,0.28586126005351004,-185.73853842587968,253.53,0.2865756512070317
GENE131X,0.5762711864406781,7.9035087719298245,0.47424847261008,3.8260869565217392,0.36962426437301943,0.47524154589371986,0.7376192280600233,0.7370169082125604,0.41062819368684594,-183.97233214056797,248.91424902568053,0.41963075454416116
GENE132X,0.5066666666666666,5.964912280701754,0.3105589418948489,2.191304347826087,0.36962426437301943,0.3677536231884058,0.6689273264831853,0.6527777777777777,0.30895951701404434,-188.7878194931152,252.71928426428508,0.3164836122118033
GENE133X,0.4220183486238532,3.9672131147540983,0.20059204031851152,1.8782608695652172,0.36962426437301943,0.15217391304347827,0.5710402407201608,0.5585748792270531,0.26339795035557556,-188.82599311321903,253.95232670146345,0.18283936271530682
